,12.5,25.0,50.0,75.0,87.5
Cr-V,0.0,0.0,0.0,0.0,0.0
Cr-W,0.0,0.0,0.0,0.0,0.0
Cr-Ti,0.0,0.0,0.0,0.0,0.0
Cr-Ta,0.0,0.0,0.0,0.0,0.0
Cr-Fe,0.0,0.0,0.0,0.0,0.0
Cr-Mo,0.0,0.0,0.0,0.0,0.0
Cr-Nb,0.0,0.0,0.0,0.0,0.0
Cr-Zr,0.0,0.0,0.0,0.0,0.0
Cr-Hf,0.0,0.0,0.0,0.0,0.0
V-W,0.0,0.0,0.0,0.0,0.0
Ti-V,0.0,0.0,0.0,0.0,0.0
Ta-V,0.0,0.0,0.0,0.0,0.0
Fe-V,0.0,0.0,0.0,0.0,0.0
Mo-V,0.0,0.0,0.0,0.0,0.0
Nb-V,0.0,0.0,0.0,0.0,0.0
V-Zr,0.0,0.0,0.0,0.0,0.0
Hf-V,0.0,0.0,0.0,0.0,0.0
Ti-W,0.0,0.0,0.0,0.0,0.0
Ta-W,0.0,0.0,0.0,0.0,0.0
Fe-W,0.0,0.0,0.0,0.0,0.0
Mo-W,0.0,0.0,0.0,0.0,0.0
Nb-W,0.0,0.0,0.0,0.0,0.0
W-Zr,0.0,0.0,0.0,0.0,0.0
Hf-W,0.0,0.0,0.0,0.0,0.0
Ta-Ti,0.0,0.0,0.0,0.0,0.0
Fe-Ti,0.0,0.0,0.0,0.0,0.0
Mo-Ti,0.0,0.0,0.0,0.0,0.0
Nb-Ti,0.0,0.0,0.0,0.0,0.0
Ti-Zr,0.0,0.0,0.0,0.0,0.0
Hf-Ti,0.0,0.0,0.0,0.0,0.0
Fe-Ta,0.0,0.0,0.0,0.0,0.0
Mo-Ta,0.0,0.0,0.0,0.0,0.0
Nb-Ta,0.0,0.0,0.0,0.0,0.0
Ta-Zr,0.0,0.0,0.0,0.0,0.0
Hf-Ta,0.0,0.0,0.0,0.0,0.0
Fe-Mo,0.0,0.0,0.0,0.0,0.0
Fe-Nb,0.0,0.0,0.0,0.0,0.0
Fe-Zr,0.0,0.0,0.0,0.0,0.0
Fe-Hf,0.0,0.0,0.0,0.0,0.0
Mo-Nb,0.0,0.0,0.0,0.0,0.0
Mo-Zr,0.0,0.0,0.0,0.0,0.0
Hf-Mo,0.0,0.0,0.0,0.0,0.0
Nb-Zr,0.0,0.0,0.0,0.0,0.0
Hf-Nb,0.0,0.0,0.0,0.0,0.0
Hf-Zr,0.0,0.0,0.0,0.0,0.0
