Alloys,Temp,Avg_Tm
Cr-Fe,2000.0,2000.0
Cr-Hf,2400.0,2400.0
Cr-Mn,1000.0,1900.0
Cr-Ta,2800.0,2800.0
Cr-Ti,1700.0,2100.0
Cr-V,0.0,2200.0
Cr-W,2200.0,3000.0
Fe-Hf,2200.0,2200.0
Fe-Mn,1700.0,1700.0
Fe-Ta,2600.0,2600.0
Fe-Ti,1900.0,1900.0
Fe-V,900.0,2000.0
Fe-W,2800.0,2800.0
Hf-Mn,2100.0,2100.0
Hf-Ta,1200.0,2900.0
Hf-Ti,900.0,2300.0
Hf-V,1800.0,2400.0
Hf-W,2600.0,3100.0
Mn-Ta,2500.0,2500.0
Mn-Ti,1800.0,1800.0
Mn-V,1900.0,1900.0
Mn-W,2700.0,2700.0
Ta-Ti,800.0,2700.0
Ta-V,2700.0,2800.0
Ta-W,100.0,3500.0
Ti-V,700.0,2100.0
Ti-W,100.0,2900.0
V-W,300.0,3000.0
